Strain	Type	Accension	Host1	Location	A0	Year	Subtype	Host2	Group
REF_HM461820_A_swine_North_Carolina_02023_2008_H1N1_Swine_Classical_2008	REF	HM461820	swine	NorthCarolina	2023	2008	H1N1	Swine	Classical
REF_HM461828_A_swine_North_Carolina_02084_2008_H1N1_Swine_Classical_2008	REF	HM461828	swine	NorthCarolina	2084	2008	H1N1	Swine	Classical
REF_HM461780_A_swine_Ohio_02026_2008_H1N1_Swine_Classical_2008	REF	HM461780	swine	Ohio	2026	2008	H1N1	Swine	Classical
REF_FJ969517_A_California_04_2009_H1N1_Human_Pandemic_2009_04_01	REF	FJ969517	human	California	4	2009	H1N1	Human	Pandemic
REF_GU480924_A_swine_IL_32974_2009_H1N1_Swine_Pandemic_2009_11_11	REF	GU480924	swine	Illinois	32974	2009	H1N1	Swine	Pandemic
REF_KF739392_A_swine_Illinois_02907_2009_H3N2_Swine_02_2009_10_21	REF	KF739392	swine	Illinois	2907	2009	H3N2	Swine	2
REF_GQ223113_A_Mexico_4108_2009_H1N1_Human_Pandemic_2009_04_03	REF	GQ223113	human	Mexico	4108	2009	H1N1	Human	Pandemic
REF_CY099105_A_swine_Minnesota_02782_2009_H3N2_Swine_02_2009_05_07	REF	CY099105	swine	Minnesota	2782	2009	H3N2	Swine	2
REF_JX048041_A_swine_Minnesota_A01076180_2009_H1N1_Swine_Classical_2009_12_06	REF	JX048041	swine	Minnesota	A01076180	2009	H1N1	Swine	Classical
REF_FJ984350_A_New_York_18_2009_H1N1_Human_Pandemic_2009_04_25	REF	FJ984350	human	NewYork	18	2009	H1N1	Human	Pandemic
REF_GU984406_A_swine_IL_5265_1_2010_H1N1_Swine_Pandemic_2010_01_25	REF	GU984406	swine	Illinois	5265	2010	H1N1	Swine	Pandemic
REF_KY354172_A_swine_Illinois_3120_2010_H1N2_Swine_02A_2010_09_03	REF	KY354172	swine	Illinois	3120	2010	H1N2	Swine	02A
REF_KY354177_A_swine_Illinois_3134_2010_H1N2_Swine_02_2010_09_28	REF	KY354177	swine	Illinois	3134	2010	H1N2	Swine	2
REF_KY354184_A_swine_Illinois_02991_2010_H1N1_Swine_Pandemic_2010_02_25	REF	KY354184	swine	Illinois	2991	2010	H1N1	Swine	Pandemic
REF_KY354181_A_swine_Indiana_3062_2010_H1N1_Swine_Classical_2010_09_01	REF	KY354181	swine	Indiana	3062	2010	H1N1	Swine	Classical
REF_KY354176_A_swine_Iowa_02955_2010_H1N2_Swine_02B_2010_01_20	REF	KY354176	swine	Iowa	2955	2010	H1N2	Swine	02B
REF_JQ906910_A_swine_Minnesota_A01076626_2010_H1N2_Swine_02_2010_10_12	REF	JQ906910	swine	Minnesota	A01076626	2010	H1N2	Swine	2
REF_KY354175_A_swine_Minnesota_03011_2010_H1N1_Swine_Classical_2010_04_29	REF	KY354175	swine	Minnesota	3011	2010	H1N1	Swine	Classical
REF_KY354179_A_swine_Minnesota_03019_2010_H1N1_Swine_Classical_2010_05_24	REF	KY354179	swine	Minnesota	3019	2010	H1N1	Swine	Classical
